Player,ID,Team,Opponent,Round,Kicks,Marks,Hand Balls,Disp,Goals,Behinds,Hit Outs,Tackles,Rebounds,Inside 50,Clearances,Clangers,Frees For,Frees Against,Brownlow,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists,% Time Played,Year
Robbie Fox,12510,SY,ME,1,6,2,3,9,1,1,0,6,0,0,1,4,2,2,0,5,4,0,0,4,0,0,91,2024
Brodie Grundy,12217,SY,ME,1,12,4,11,23,0,0,33,6,1,5,9,9,3,4,0,15,7,2,0,4,0,0,78,2024
Errol Gulden,12862,SY,ME,1,16,2,4,20,0,1,0,2,2,5,2,4,1,1,0,9,14,0,0,2,0,0,89,2024
Will Hayward,12509,SY,ME,1,8,4,2,10,2,0,0,2,1,0,0,2,0,0,0,2,9,0,2,4,0,0,83,2024
Isaac Heeney,12326,SY,ME,1,17,5,9,26,1,1,0,7,2,8,13,2,2,0,0,18,10,0,1,4,0,1,79,2024
James Jordon,12860,SY,ME,1,8,3,10,18,0,0,0,7,2,4,2,3,1,2,0,6,13,0,0,2,0,0,71,2024
Jake Lloyd,12268,SY,ME,1,8,5,5,13,0,0,0,2,1,1,0,2,2,1,0,5,9,0,0,3,0,0,83,2024
Tom McCartin,12627,SY,ME,1,7,7,2,9,0,0,0,0,1,0,0,3,0,0,0,4,6,1,0,4,0,0,97,2024
Logan McDonald,12861,SY,ME,1,5,3,3,8,1,0,0,1,0,2,0,3,0,1,0,4,4,2,1,2,0,0,83,2024
Justin McInerney,12711,SY,ME,1,7,6,13,20,1,0,1,4,2,1,1,4,0,3,0,6,15,0,0,0,0,0,86,2024
Hayden McLean,12745,SY,ME,1,4,2,1,5,2,2,10,2,0,1,0,5,0,4,0,4,1,1,1,7,0,0,76,2024
Lewis Melican,12526,SY,ME,1,4,2,1,5,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,6,0,0,80,2024
Tom Papley,12412,SY,ME,1,15,4,5,20,1,1,0,3,1,4,3,1,1,0,0,10,9,0,2,3,0,0,81,2024
Dane Rampe,12140,SY,ME,1,13,6,6,19,0,0,0,0,6,1,0,1,1,0,0,7,10,0,0,4,0,0,87,2024
Matt Roberts,12994,SY,ME,1,16,8,3,19,0,0,0,3,3,1,0,1,1,0,0,1,13,0,0,1,0,0,84,2024
James Rowbottom,12714,SY,ME,1,12,0,9,21,0,2,0,7,2,5,6,4,2,3,0,14,8,0,0,1,0,0,79,2024
Chad Warner,12797,SY,ME,1,17,4,9,26,1,1,0,1,1,12,2,7,2,2,3,11,17,0,0,2,1,2,81,2024
Sam Wicks,12818,SY,ME,1,2,2,3,5,1,0,0,1,0,0,1,1,0,1,0,4,1,1,1,0,0,0,30,2024
Callum Ah Chee,12414,BL,CA,1,11,6,5,16,1,0,0,3,1,1,2,6,0,1,0,5,11,1,0,1,0,0,78,2024
Harris Andrews,12340,BL,CA,1,12,7,3,15,0,0,0,2,7,1,0,2,2,0,1,7,7,2,0,12,0,0,96,2024
Zac Bailey,12610,BL,CA,1,12,4,3,15,1,0,0,5,1,6,4,2,1,0,0,8,8,1,1,2,0,0,77,2024
Jarrod Berry,12519,BL,CA,1,11,5,6,17,0,0,0,0,2,5,1,3,0,0,0,6,11,0,0,1,0,0,77,2024
Charlie Cameron,12277,BL,CA,1,8,3,2,10,2,3,0,3,0,2,1,3,2,2,0,6,4,2,3,0,0,0,89,2024
Keidean Coleman,12838,BL,CA,1,6,4,2,8,0,0,0,0,1,2,0,0,0,0,0,2,6,0,1,0,0,2,44,2024
Joe Daniher,12199,BL,CA,1,11,5,3,14,1,2,3,0,0,6,1,4,0,2,0,5,9,1,1,2,0,1,95,2024
Josh Dunkley,12408,BL,CA,1,11,5,10,21,0,0,0,9,1,4,2,3,0,0,0,9,13,0,0,1,0,0,82,2024
Jaspa Fletcher,13072,BL,CA,1,3,5,7,10,0,0,0,1,2,1,0,2,0,1,0,2,8,0,0,0,0,0,81,2024
Darcy Gardiner,12267,BL,CA,1,3,2,8,11,0,0,0,2,1,1,0,3,0,1,0,6,5,0,1,1,0,1,76,2024
Eric Hipwood,12454,BL,CA,1,9,6,0,9,1,2,0,1,0,5,0,3,2,1,0,5,6,1,2,0,0,0,83,2024
Ryan Lester,11894,BL,CA,1,12,6,3,15,0,0,0,2,3,1,1,3,0,0,0,4,9,0,0,2,0,0,87,2024
Kai Lohmann,12968,BL,CA,1,4,4,2,6,0,0,0,0,1,1,0,1,0,0,0,1,5,0,1,1,0,0,36,2024
Jarryd Lyons,12067,BL,CA,1,10,5,9,19,0,0,0,9,0,2,1,3,1,2,0,7,11,0,0,0,0,1,70,2024
Lincoln McCarthy,12090,BL,CA,1,10,6,3,13,2,3,0,2,1,2,1,3,1,2,0,4,9,1,3,1,0,0,81,2024
Hugh McCluggage,12518,BL,CA,1,12,4,6,18,1,0,0,2,2,4,2,3,0,2,0,4,13,0,1,0,0,0,83,2024
Oscar McInerney,12617,BL,CA,1,9,0,4,13,0,0,26,6,1,4,8,7,3,2,0,14,0,0,0,2,0,0,79,2024
Lachie Neale,12055,BL,CA,1,9,2,16,25,0,0,0,2,0,5,5,1,2,0,0,13,12,0,0,0,0,1,79,2024
Jack Payne,12819,BL,CA,1,4,2,1,5,0,0,0,1,1,0,0,2,0,2,0,4,2,1,0,4,0,0,85,2024
Cam Rayner,12592,BL,CA,1,8,2,7,15,1,0,0,6,2,1,5,4,0,0,0,7,8,0,1,0,0,0,87,2024
Brandon Starcevich,12668,BL,CA,1,7,1,1,8,0,0,0,0,3,1,1,1,0,0,0,3,4,0,0,1,0,0,78,2024
Darcy Wilmot,13026,BL,CA,1,17,3,4,21,0,0,0,1,5,4,2,4,1,1,0,6,9,0,0,2,2,0,82,2024
Dayne Zorko,12076,BL,CA,1,12,7,7,19,2,0,0,6,1,3,0,3,1,1,0,5,13,0,1,0,0,1,76,2024
Blake Acres,12276,CA,BL,1,12,6,10,22,0,0,0,0,1,3,5,2,1,2,0,11,12,1,0,2,0,1,82,2024
Jordan Boyd,12965,CA,BL,1,14,6,2,16,0,0,0,3,5,1,0,4,1,1,0,2,14,0,0,6,0,0,80,2024
Jack Carroll,12976,CA,BL,1,7,1,3,10,1,0,0,2,1,2,4,1,1,0,0,6,4,0,0,0,0,0,35,2024
Adam Cerra,12603,CA,BL,1,11,1,14,25,0,0,0,4,0,2,7,5,0,1,0,14,10,0,0,1,0,1,79,2024
Matthew Cottrell,12822,CA,BL,1,9,4,5,14,1,0,0,0,0,3,0,2,0,2,0,5,8,1,0,0,0,0,88,2024
Patrick Cripps,12261,CA,BL,1,8,3,15,23,1,0,2,2,0,3,2,4,2,1,0,10,13,0,1,0,0,0,79,2024
David Cuningham,12476,CA,BL,1,5,2,7,12,1,2,0,5,0,3,3,1,1,0,0,6,6,0,0,0,0,0,75,2024
Charlie Curnow,12421,CA,BL,1,11,5,0,11,4,0,0,0,2,4,0,3,0,0,2,5,5,3,1,3,0,0,90,2024
Tom De Koning,12674,CA,BL,1,5,2,6,11,0,0,24,3,1,2,2,4,1,2,0,7,3,2,0,1,0,0,80,2024
Sam Docherty,12170,CA,BL,1,9,5,1,10,0,0,0,1,4,1,0,3,0,0,0,2,9,0,0,1,0,0,35,2024
Orazio Fantasia,12302,CA,BL,1,4,1,7,11,0,0,0,1,0,2,0,2,0,0,0,3,7,0,0,0,0,2,71,2024
Lachie Fogarty,12596,CA,BL,1,5,2,8,13,1,0,0,9,0,4,0,1,2,0,0,6,7,0,0,0,0,2,81,2024
George Hewett,12411,CA,BL,1,15,4,12,27,0,0,0,5,2,4,5,5,2,1,0,13,15,0,0,0,0,0,77,2024
Oliver Hollands,13029,CA,BL,1,6,3,2,8,0,0,0,8,1,3,0,3,0,0,0,2,7,0,0,0,0,0,83,2024
Brodie Kemp,12937,CA,BL,1,6,3,9,15,0,0,0,1,5,1,0,2,1,1,0,8,8,0,0,7,0,0,98,2024
Matthew Kennedy,12455,CA,BL,1,6,2,4,10,1,0,1,2,0,2,2,2,3,1,0,6,4,0,1,1,0,0,80,2024
Mitch McGovern,12404,CA,BL,1,14,8,3,17,0,1,0,4,1,1,2,1,1,0,0,4,9,0,0,5,0,0,80,2024
Harry McKay,12566,CA,BL,1,9,7,4,13,3,1,1,2,0,2,2,3,1,1,3,10,6,4,4,4,0,1,94,2024
Nic Newman,12508,CA,BL,1,15,8,1,16,0,0,0,3,5,4,0,3,0,0,0,3,13,0,0,5,0,1,84,2024
Matthew Owies,12839,CA,BL,1,6,2,2,8,0,0,0,1,0,1,0,1,2,0,0,3,5,0,0,1,0,0,72,2024
Adam Saad,12330,CA,BL,1,9,6,6,15,0,0,0,1,7,0,0,2,1,1,0,4,7,1,0,1,2,0,79,2024
Zac Williams,12175,CA,BL,1,17,4,2,19,0,0,0,2,4,1,1,4,0,2,0,5,12,0,0,1,0,0,80,2024
Lewis Young,12559,CA,BL,1,13,6,2,15,0,0,0,0,11,0,1,1,0,0,0,6,7,1,0,7,0,0,100,2024
Liam Baker,12661,RI,GC,1,8,2,8,16,0,0,0,0,0,2,2,2,0,0,0,5,10,0,0,1,0,0,85,2024
Noah Balta,12686,RI,GC,1,10,5,5,15,1,1,5,2,1,7,2,4,3,1,0,8,8,1,1,3,0,0,82,2024
Sam Banks,13078,RI,GC,1,7,4,4,11,0,0,0,3,1,0,0,2,0,1,0,4,7,1,0,0,0,0,79,2024
Shai Bolton,12535,RI,GC,1,6,1,2,8,3,0,0,1,0,1,3,1,1,0,0,5,4,0,1,0,2,0,86,2024
Nathan Broad,12456,RI,GC,1,8,6,1,9,0,1,0,3,3,3,0,4,0,1,0,1,7,0,0,4,0,0,88,2024
Seth Campbell,13100,RI,GC,1,7,2,2,9,2,1,0,4,0,1,1,1,1,0,0,5,2,0,2,1,0,0,80,2024
Thomson Dow,12835,RI,GC,1,1,1,5,6,0,0,0,3,0,1,2,3,0,1,0,3,3,0,0,0,0,0,72,2024
Josh Gibcus,12947,RI,GC,1,6,2,3,9,0,0,0,2,3,1,0,1,1,0,0,8,1,2,0,7,0,0,89,2024
Dylan Grimes,11879,RI,GC,1,6,5,2,8,0,0,0,0,3,0,0,3,0,1,0,4,4,2,0,2,0,0,82,2024
Jacob Hopper,12440,RI,GC,1,14,6,9,23,2,0,0,2,2,2,3,5,3,2,0,13,10,0,1,0,0,0,79,2024
Jacob Koschitzke,12859,RI,GC,1,3,2,1,4,0,0,1,3,0,1,0,1,0,0,0,1,2,1,1,2,0,0,83,2024
Kamdyn McIntosh,12317,RI,GC,1,8,4,7,15,0,0,0,0,4,0,1,4,0,2,0,1,14,0,0,1,0,0,86,2024
Sam Naismith,12313,RI,GC,1,5,1,6,11,0,0,25,3,1,1,7,1,4,0,0,9,2,0,0,6,0,0,76,2024
Marlion Pickett,12761,RI,GC,1,8,3,5,13,1,0,0,3,0,4,0,3,1,0,0,4,9,0,1,1,0,0,77,2024
Dion Prestia,11917,RI,GC,1,9,3,9,18,0,1,0,3,3,3,5,2,0,1,0,10,9,0,0,1,0,1,77,2024
Daniel Rioli,12403,RI,GC,1,12,2,3,15,0,0,0,2,5,5,0,2,0,0,0,2,10,0,0,2,2,1,84,2024
Maurice Rioli,12935,RI,GC,1,3,1,4,7,0,1,0,2,0,0,0,0,1,0,0,3,5,0,1,1,0,2,78,2024
Jack Ross,12712,RI,GC,1,5,2,5,10,0,0,0,0,0,3,0,1,0,0,0,4,5,0,0,0,0,1,38,2024
Samson Ryan,12918,RI,GC,1,1,0,1,2,0,0,6,1,0,0,0,1,0,1,0,0,2,0,0,1,0,0,39,2024
Jayden Short,12418,RI,GC,1,20,7,3,23,0,0,0,4,11,1,1,1,0,0,0,4,12,1,0,2,0,0,84,2024
Tim Taranto,12504,RI,GC,1,10,2,5,15,0,0,0,4,1,3,4,9,0,2,0,10,5,0,0,1,0,0,83,2024
Nick Vlastuin,12174,RI,GC,1,18,9,2,20,0,0,0,1,7,1,0,3,0,1,0,7,9,2,0,3,0,0,82,2024
Tylar Young,13043,RI,GC,1,5,2,1,6,0,0,0,1,2,1,0,5,0,2,0,2,3,0,0,4,0,0,90,2024
Ben Ainsworth,12498,GC,RI,1,9,6,4,13,0,1,0,0,0,2,0,2,1,0,0,2,11,0,3,0,0,2,83,2024
Noah Anderson,12767,GC,RI,1,16,9,9,25,0,1,0,1,3,6,8,3,1,0,2,13,14,0,0,1,3,1,82,2024
Charlie Ballard,12625,GC,RI,1,12,9,2,14,0,0,0,1,2,1,1,3,0,1,0,6,9,3,0,9,0,0,95,2024
Tom Berry,12780,GC,RI,1,6,3,0,6,0,1,0,3,0,4,0,0,1,0,0,3,5,0,1,3,0,1,60,2024
Connor Budarick,12769,GC,RI,1,18,8,3,21,0,0,0,1,5,0,0,3,0,0,0,3,15,0,0,2,0,0,84,2024
Levi Casboult,12114,GC,RI,1,5,2,4,9,0,0,3,2,0,1,0,2,0,2,0,4,4,2,1,2,0,1,86,2024
Sam Collins,12444,GC,RI,1,6,6,8,14,0,0,0,1,0,0,1,1,0,1,0,8,7,0,0,15,0,0,95,2024
Brandon Ellis,12034,GC,RI,1,10,4,2,12,0,0,0,3,0,3,0,3,0,0,0,2,9,0,0,1,0,0,75,2024
Brayden Fiorini,12481,GC,RI,1,12,8,7,19,2,0,0,3,2,3,0,1,0,0,0,3,14,0,0,1,0,0,88,2024
Sam Flanders,12824,GC,RI,1,15,4,11,26,0,0,0,3,1,7,2,3,1,0,0,9,18,0,0,3,0,1,77,2024
Nick Holman,12307,GC,RI,1,8,4,5,13,1,1,0,2,0,4,0,1,0,0,0,7,6,0,0,1,0,1,79,2024
Bailey Humphrey,13049,GC,RI,1,1,2,8,9,0,0,0,2,0,1,0,4,0,4,0,5,6,0,0,2,0,0,75,2024
Ben King,12728,GC,RI,1,8,6,2,10,5,1,0,0,0,0,0,1,2,0,1,6,4,2,5,0,0,0,88,2024
Jack Lukosius,12704,GC,RI,1,9,6,1,10,3,0,3,1,1,3,1,2,0,1,0,4,7,1,2,3,0,1,85,2024
Darcy Macpherson,12438,GC,RI,1,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,2024
Touk Miller,12331,GC,RI,1,18,6,10,28,0,1,0,4,3,7,2,3,1,0,0,7,21,0,1,1,0,1,82,2024
Wil Powell,12652,GC,RI,1,20,9,8,28,0,0,0,1,4,3,0,2,2,1,0,4,20,0,0,2,2,0,86,2024
Malcolm Rosas,12903,GC,RI,1,9,5,4,13,3,2,0,1,0,0,0,3,1,0,0,1,12,0,5,1,0,1,63,2024
Matt Rowell,12768,GC,RI,1,19,1,14,33,0,0,0,5,3,3,20,5,4,0,3,26,8,0,0,2,0,0,84,2024
Alex Sexton,12080,GC,RI,1,12,8,9,21,0,0,0,1,2,2,1,5,1,1,0,4,17,0,0,2,0,0,78,2024
David Swallow,11919,GC,RI,1,12,6,4,16,0,0,0,1,2,5,0,4,0,2,0,4,11,1,0,2,0,1,79,2024
Bodhi Uwland,13041,GC,RI,1,4,3,4,8,0,0,0,0,2,1,0,2,0,1,0,4,5,0,0,5,0,0,82,2024
Jarrod Witts,12177,GC,RI,1,11,3,3,14,0,1,22,2,0,5,8,4,1,1,0,12,2,2,0,1,0,0,77,2024
Lachie Ash,12782,GW,CW,1,14,7,11,25,0,0,0,4,4,3,0,1,1,0,0,6,17,0,0,4,0,0,80,2024
Toby Bedford,12772,GW,CW,1,5,1,6,11,0,0,0,3,0,3,1,1,2,0,0,7,5,0,0,2,0,0,80,2024
Kieren Briggs,12904,GW,CW,1,7,0,7,14,0,0,20,3,0,3,6,2,1,1,0,9,1,0,0,3,0,0,69,2024
Callum Brown,12910,GW,CW,1,8,7,3,11,5,0,0,1,1,1,1,1,1,0,2,4,7,1,4,3,0,0,85,2024
Jack Buckley,12846,GW,CW,1,5,3,3,8,0,0,0,1,2,0,0,1,1,0,0,3,5,1,0,4,1,0,93,2024
Aaron Cadman,13054,GW,CW,1,5,3,5,10,2,1,0,0,0,1,1,0,0,0,0,4,6,1,2,1,0,0,77,2024
Stephen Coniglio,12028,GW,CW,1,12,5,16,28,0,0,0,2,3,5,4,6,3,1,1,11,19,0,0,1,0,4,84,2024
Brent Daniels,12656,GW,CW,1,14,5,8,22,4,2,0,0,1,4,1,9,0,1,0,5,16,0,2,0,0,0,82,2024
Toby Greene,12025,GW,CW,1,9,3,6,15,1,0,0,0,0,4,0,5,1,5,0,6,9,0,0,0,0,4,93,2024
Tom Green,12770,GW,CW,1,16,4,14,30,1,0,0,6,4,4,9,1,1,1,3,11,19,0,1,1,0,0,87,2024
Nick Haynes,12091,GW,CW,1,16,9,7,23,0,0,0,1,4,3,1,3,0,0,0,6,18,1,0,5,0,0,80,2024
Harry Himmelberg,12462,GW,CW,1,14,5,10,24,0,0,0,2,5,1,3,3,1,0,0,9,11,0,0,7,1,0,80,2024
Jesse Hogan,12321,GW,CW,1,9,7,3,12,4,0,0,0,0,1,1,2,0,1,0,7,6,2,3,2,0,1,87,2024
Connor Idun,12750,GW,CW,1,8,5,8,16,0,0,0,1,2,1,1,1,1,1,0,8,9,1,0,2,1,0,86,2024
Josh Kelly,12255,GW,CW,1,22,5,10,32,1,0,0,3,5,7,2,8,1,1,0,7,23,0,1,1,0,1,84,2024
Toby McMullin,13088,GW,CW,1,8,3,3,11,0,0,0,2,1,2,0,2,0,0,0,2,9,0,0,0,0,0,38,2024
Xavier OHalloran,12821,GW,CW,1,10,4,5,15,0,0,0,3,2,5,0,10,0,3,0,5,9,0,0,2,0,2,80,2024
Jake Riccardi,12834,GW,CW,1,1,1,3,4,0,0,3,0,0,1,1,2,0,2,0,2,3,0,0,1,0,0,68,2024
Sam Taylor,12644,GW,CW,1,8,4,7,15,0,0,0,0,2,0,0,2,1,1,0,6,7,2,0,5,0,0,100,2024
Harvey Thomas,13101,GW,CW,1,3,0,6,9,0,0,0,0,0,1,0,4,0,1,0,4,5,0,0,4,0,3,82,2024
Callan Ward,11677,GW,CW,1,2,0,6,8,0,0,0,1,0,0,3,1,0,1,0,4,4,0,0,0,0,0,27,2024
Jacob Wehr,12991,GW,CW,1,6,2,5,11,0,1,0,2,1,3,3,2,0,0,0,4,7,0,0,1,0,1,78,2024
Lachie Whitfield,12143,GW,CW,1,24,14,9,33,0,0,0,1,10,0,1,4,1,0,0,4,24,0,0,2,0,0,81,2024
Darcy Cameron,12660,CW,GW,1,15,4,5,20,2,0,30,5,2,1,2,6,2,0,0,10,8,1,0,1,0,0,81,2024
Mason Cox,12428,CW,GW,1,2,1,3,5,0,0,19,0,0,2,0,1,0,1,0,2,3,0,0,1,0,0,67,2024
Jack Crisp,12061,CW,GW,1,9,2,9,18,0,1,0,6,2,3,3,3,2,1,0,9,9,0,0,2,0,1,85,2024
Josh Daicos,12573,CW,GW,1,16,6,12,28,0,0,0,5,2,5,3,2,1,0,0,6,22,0,0,0,0,0,92,2024
Nick Daicos,12943,CW,GW,1,19,3,15,34,1,1,0,4,1,8,10,5,1,3,0,16,19,0,0,0,1,0,80,2024
Jordan de Goey,12318,CW,GW,1,11,4,10,21,0,0,0,1,1,4,7,6,1,3,0,8,11,0,0,0,0,0,79,2024
Charlie Dean,13097,CW,GW,1,4,3,5,9,0,0,0,1,4,0,0,0,1,0,0,3,7,0,0,6,0,0,96,2024
Jamie Elliott,12083,CW,GW,1,9,3,7,16,0,2,0,3,0,2,1,5,1,1,0,5,8,0,2,0,0,0,83,2024
Bobby Hill,12744,CW,GW,1,5,1,5,10,2,0,0,3,0,0,0,3,0,0,0,3,6,0,1,0,1,1,76,2024
Will Hoskin-Elliott,12026,CW,GW,1,13,7,1,14,0,1,0,1,3,3,0,5,1,1,0,1,12,0,1,3,0,1,79,2024
Ash Johnson,13013,CW,GW,1,2,1,0,2,0,0,0,1,0,1,0,2,1,1,0,2,0,1,0,0,1,0,68,2024
Patrick Lipinski,12578,CW,GW,1,12,2,14,26,0,2,0,2,3,3,1,4,1,1,0,9,16,0,1,0,0,0,84,2024
Oleg Markov,12459,CW,GW,1,5,2,11,16,0,0,0,0,1,1,2,3,0,0,0,7,10,1,0,2,0,0,81,2024
Brayden Maynard,12371,CW,GW,1,15,9,1,16,1,0,0,5,4,3,1,3,2,1,0,2,12,0,0,1,0,0,85,2024
Beau McCreery,12876,CW,GW,1,7,3,2,9,1,1,0,4,0,4,0,3,1,1,0,2,7,0,0,1,0,0,82,2024
Brody Mihocek,12639,CW,GW,1,8,3,6,14,3,2,0,0,0,0,0,1,0,0,0,4,9,0,3,1,0,0,93,2024
Tom Mitchell,12196,CW,GW,1,2,0,7,9,1,0,0,2,0,1,2,0,0,0,0,4,5,0,0,0,0,0,48,2024
Darcy Moore,12372,CW,GW,1,6,4,3,9,0,0,0,2,3,1,0,0,0,0,0,4,4,1,0,10,0,0,97,2024
John Noble,12743,CW,GW,1,4,1,4,8,0,0,0,3,3,1,0,2,0,1,0,2,6,0,0,1,0,0,33,2024
Scott Pendlebury,4182,CW,GW,1,10,8,8,18,0,0,0,1,0,2,5,0,0,0,0,6,12,0,0,1,0,2,62,2024
Isaac Quaynor,12740,CW,GW,1,9,3,6,15,0,0,0,2,4,3,1,2,2,0,0,7,9,0,0,5,0,0,77,2024
Lachie Schultz,12700,CW,GW,1,8,5,8,16,0,3,0,6,0,5,0,3,0,1,0,5,11,0,1,2,0,0,81,2024
Steele Sidebottom,11751,CW,GW,1,14,6,3,17,0,0,0,3,2,7,2,3,3,0,0,6,13,0,0,1,0,2,88,2024
Liam Baker,12661,RI,CA,2,12,5,6,18,1,1,0,4,1,5,1,9,2,1,0,7,10,1,2,1,0,0,79,2024
Noah Balta,12686,RI,CA,2,19,9,4,23,3,0,4,0,9,2,1,5,0,2,1,11,10,3,1,1,1,0,92,2024
Shai Bolton,12535,RI,CA,2,9,4,9,18,0,1,0,3,1,4,2,7,0,2,0,6,12,0,1,1,2,1,84,2024
Nathan Broad,12456,RI,CA,2,9,3,0,9,0,0,0,3,4,1,0,1,0,0,0,4,2,1,0,8,1,0,98,2024
Seth Campbell,13100,RI,CA,2,9,3,4,13,1,0,0,1,2,3,2,7,0,2,0,6,9,0,0,1,0,0,86,2024
Thomson Dow,12835,RI,CA,2,5,4,11,16,0,0,0,0,2,2,3,1,0,1,0,7,9,0,0,0,0,2,77,2024
Josh Gibcus,12947,RI,CA,2,1,0,0,1,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,5,0,0,40,2024
Dylan Grimes,11879,RI,CA,2,4,1,2,6,0,0,0,1,1,0,0,4,0,2,0,3,2,0,0,8,0,0,83,2024
Jacob Hopper,12440,RI,CA,2,9,2,16,25,0,0,0,2,2,2,2,4,1,0,0,13,12,0,0,0,0,0,82,2024
Tom Lynch,11948,RI,CA,2,8,4,2,10,2,1,1,1,0,3,1,2,3,1,0,6,4,1,1,2,0,1,89,2024
Rhyan Mansell,12883,RI,CA,2,5,1,1,6,0,1,0,1,0,1,0,1,2,1,0,4,3,0,0,1,0,1,58,2024
Dustin Martin,11794,RI,CA,2,11,4,5,16,2,0,0,3,0,2,1,4,0,1,0,7,9,0,2,0,0,0,89,2024
Kamdyn McIntosh,12317,RI,CA,2,12,5,4,16,0,0,0,2,2,4,1,5,0,2,0,2,14,0,0,0,2,0,88,2024
Toby Nankervis,12374,RI,CA,2,10,3,9,19,0,1,21,8,6,0,8,5,1,3,0,12,6,1,1,3,0,0,85,2024
Marlion Pickett,12761,RI,CA,2,7,2,11,18,0,0,0,3,2,2,2,6,0,2,0,11,9,0,0,1,0,0,84,2024
Dion Prestia,11917,RI,CA,2,4,1,3,7,0,0,0,0,0,2,2,2,0,0,0,2,4,0,0,0,0,0,22,2024
