Player,ID,Team,Opponent,Round,Kicks,Marks,Hand Balls,Disp,Goals,Behinds,Hit Outs,Tackles,Rebounds,Inside 50,Clearances,Clangers,Frees For,Frees Against,Brownlow,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists,% Time Played,Year
Jack Billings,12249,ME,SY,1,1,0,1,2,0,0,0,2,0,0,0,2,0,1,0,3,2,0,0,1,0,0,38,2024
Jake Bowey,12931,ME,SY,1,13,3,1,14,0,0,0,1,6,0,0,1,0,0,0,1,9,0,0,1,0,0,48,2024
Kade Chandler,12756,ME,SY,1,4,2,7,11,0,0,0,3,0,3,0,3,0,0,0,5,6,0,0,2,0,0,82,2024
Bayley Fritsch,12598,ME,SY,1,6,2,0,6,4,1,0,3,0,0,0,2,1,1,0,1,6,0,2,1,0,0,92,2024
Max Gawn,11966,ME,SY,1,8,1,6,14,0,1,37,4,2,0,2,6,6,4,0,9,8,0,0,0,0,0,82,2024
Blake Howes,13098,ME,SY,1,9,7,8,17,0,0,0,3,5,1,0,3,1,1,0,9,9,0,0,4,0,0,74,2024
Ed Langdon,12393,ME,SY,1,10,4,9,19,1,0,0,3,3,5,0,4,1,0,0,9,12,0,2,0,0,0,90,2024
Bailey Laurie,13032,ME,SY,1,3,1,5,8,0,0,0,1,1,3,0,1,0,0,0,2,6,0,0,0,0,0,42,2024
Jake Lever,12351,ME,SY,1,9,6,3,12,0,0,0,0,3,2,0,3,0,1,0,1,12,0,0,5,0,0,100,2024
Steven May,11940,ME,SY,1,14,5,7,21,0,0,0,2,7,2,0,1,2,0,0,7,10,1,0,9,0,0,90,2024
Judd McVee,13033,ME,SY,1,14,6,6,20,0,0,0,0,9,1,3,2,1,0,0,8,11,0,0,2,0,1,78,2024
Alex Neal-Bullen,12367,ME,SY,1,6,2,9,15,0,1,0,6,1,2,3,2,1,0,0,6,9,0,0,1,0,0,83,2024
Clayton Oliver,12410,ME,SY,1,18,2,12,30,0,0,0,2,0,6,6,3,0,1,0,10,14,0,0,1,0,1,82,2024
Christian Petracca,12430,ME,SY,1,11,1,15,26,1,2,0,3,0,3,3,3,1,0,0,13,12,0,0,3,0,1,84,2024
Trent Rivers,12778,ME,SY,1,10,4,7,17,0,0,0,0,2,3,1,4,0,1,0,4,12,0,0,2,0,0,80,2024
Christian Salem,12272,ME,SY,1,20,5,7,27,0,0,0,3,4,5,5,6,0,2,0,15,12,0,0,0,0,0,80,2024
Josh Schache,12416,ME,SY,1,3,2,1,4,0,2,1,2,0,0,0,1,1,0,0,2,3,0,1,3,0,0,76,2024
Charlie Spargo,12622,ME,SY,1,5,1,7,12,0,1,0,2,0,3,0,3,1,2,0,2,10,0,0,0,1,0,77,2024
Tom Sparrow,12693,ME,SY,1,3,2,10,13,0,0,0,9,1,2,3,6,1,3,0,9,8,0,0,1,0,0,80,2024
Adam Tomlinson,12027,ME,SY,1,10,3,2,12,0,0,0,2,7,0,0,0,2,0,0,7,3,2,0,9,0,0,100,2024
Jacob van Rooyen,13048,ME,SY,1,3,2,7,10,1,0,0,3,0,1,0,2,1,1,0,2,7,0,0,1,0,0,83,2024
Jack Viney,12147,ME,SY,1,19,2,11,30,2,0,0,7,1,9,7,7,4,2,2,14,17,0,0,2,0,1,79,2024
Caleb Windsor,13099,ME,SY,1,6,0,7,13,0,0,0,4,0,0,1,2,0,1,0,6,8,0,0,2,0,1,81,2024
Joel Amartey,12844,SY,ME,1,3,1,0,3,0,1,2,2,0,0,0,1,0,0,0,0,2,0,0,1,0,0,43,2024
Nick Blakey,12699,SY,ME,1,18,9,8,26,0,0,0,0,7,6,0,2,2,0,1,6,16,1,0,6,6,2,78,2024
Braeden Campbell,12863,SY,ME,1,12,7,4,16,0,0,0,2,2,5,1,2,1,0,0,3,15,0,0,1,0,0,68,2024
Harry Cunningham,12015,SY,ME,1,14,10,4,18,0,0,0,3,0,2,1,1,0,0,0,3,15,0,1,5,0,0,83,2024
Oliver Florent,12497,SY,ME,1,10,3,8,18,1,0,0,2,7,2,3,1,0,0,0,8,8,0,0,1,0,0,91,2024
