Player,ID,Team,Opponent,Round,Kicks,Marks,Hand Balls,Disp,Goals,Behinds,Hit Outs,Tackles,Rebounds,Inside 50,Clearances,Clangers,Frees For,Frees Against,Brownlow,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists,% Time Played,Year
David Astbury,11828,RI,CA,1,5,1,4,9,0,0,0,0,2,0,0,0,0,0,0,4,4,0,0,3,0,0,92,2019
Noah Balta,12686,RI,CA,1,5,2,0,5,1,0,6,1,0,3,1,5,1,3,0,2,4,0,0,2,0,0,52,2019
Nathan Broad,12456,RI,CA,1,4,1,4,8,0,0,0,2,2,0,0,2,1,0,0,3,5,0,0,6,2,0,80,2019
Dan Butler,12490,RI,CA,1,8,1,5,13,1,0,0,7,0,6,0,4,1,3,0,6,8,0,1,1,0,0,82,2019
Trent Cotchin,11666,RI,CA,1,20,6,11,31,0,1,0,4,0,6,6,5,2,4,3,14,14,1,1,2,1,0,80,2019
Shane Edwards,11557,RI,CA,1,8,0,14,22,0,0,0,4,0,3,5,1,1,0,0,11,12,0,0,1,0,1,85,2019
Jack Graham,12576,RI,CA,1,16,7,7,23,0,1,0,6,0,5,4,6,1,1,0,9,15,0,1,2,0,0,81,2019
Dylan Grimes,11879,RI,CA,1,5,1,4,9,0,0,0,4,2,1,1,2,1,1,0,5,3,1,0,7,0,0,80,2019
Jack Higgins,12609,RI,CA,1,9,6,8,17,3,0,0,1,1,4,0,2,0,0,0,6,11,0,3,2,0,2,82,2019
Bachar Houli,11566,RI,CA,1,16,6,8,24,0,0,0,4,8,3,1,2,1,0,0,4,14,0,0,2,0,1,83,2019
Kane Lambert,12333,RI,CA,1,12,7,18,30,0,1,0,4,1,3,3,4,2,0,0,10,19,0,1,0,0,0,89,2019
Tom Lynch,11948,RI,CA,1,4,1,3,7,3,1,0,2,0,0,0,3,2,1,0,5,2,1,1,1,0,0,78,2019
Dustin Martin,11794,RI,CA,1,18,4,12,30,0,0,0,0,1,7,5,7,0,3,0,15,17,1,1,2,2,1,79,2019
Kamdyn McIntosh,12317,RI,CA,1,9,3,4,13,1,0,0,4,2,1,0,1,0,0,0,7,7,2,0,3,0,0,79,2019
Toby Nankervis,12374,RI,CA,1,13,2,4,17,3,0,34,2,0,2,3,3,3,0,1,13,7,0,0,0,0,0,83,2019
Dion Prestia,11917,RI,CA,1,10,1,10,20,0,0,0,7,0,5,4,2,3,0,0,9,11,0,0,1,0,1,78,2019
Alex Rance,11733,RI,CA,1,3,2,3,6,0,0,0,2,2,0,0,5,1,2,0,4,2,0,0,7,0,0,68,2019
Jack Riewoldt,11576,RI,CA,1,6,2,2,8,1,1,0,2,0,1,0,7,1,4,0,9,2,1,2,3,0,2,98,2019
Daniel Rioli,12403,RI,CA,1,10,4,7,17,0,2,0,2,0,4,2,0,1,0,0,6,10,0,0,2,0,2,88,2019
Jayden Short,12418,RI,CA,1,18,5,2,20,0,1,0,3,9,2,1,5,0,1,0,3,10,1,0,3,0,0,89,2019
Nick Vlastuin,12174,RI,CA,1,10,5,4,14,0,0,0,1,6,0,0,1,0,0,0,3,7,0,0,3,0,0,89,2019
Maverick Weller,11922,RI,CA,1,9,2,6,15,1,1,0,1,2,3,1,1,0,0,0,4,11,0,0,2,0,0,85,2019
Patrick Cripps,12261,CA,RI,1,10,1,22,32,0,0,0,6,2,2,8,3,3,1,2,22,10,0,0,0,1,0,89,2019
David Cuningham,12476,CA,RI,1,9,5,13,22,0,0,0,5,0,5,3,7,1,2,0,10,15,0,0,0,0,1,79,2019
Charlie Curnow,12421,CA,RI,1,10,1,2,12,1,0,0,1,0,2,0,4,0,2,0,6,5,0,0,0,0,0,94,2019
Ed Curnow,11883,CA,RI,1,13,12,12,25,0,1,0,3,1,3,2,4,1,0,0,7,18,0,2,1,0,1,82,2019
Paddy Dow,12582,CA,RI,1,8,3,13,21,0,1,0,2,1,3,1,4,1,1,0,9,12,0,1,1,0,0,76,2019
Alex Fasolo,11977,CA,RI,1,4,2,1,5,1,0,0,1,0,0,0,1,1,1,0,1,3,0,1,0,0,0,72,2019
Zac Fisher,12520,CA,RI,1,14,2,8,22,1,1,0,6,0,3,8,5,1,4,0,12,13,0,0,3,0,1,80,2019
Jarrod Garlett,5488,CA,RI,1,8,3,1,9,0,0,0,4,3,0,1,2,0,0,0,5,5,0,0,2,0,0,68,2019
Michael Gibbons,12685,CA,RI,1,5,2,6,11,0,1,0,3,0,1,0,2,0,1,0,3,7,0,0,2,0,0,71,2019
Liam Jones,11866,CA,RI,1,4,3,4,8,0,0,0,5,3,0,1,2,3,1,0,7,2,1,0,7,0,0,97,2019
Mitch McGovern,12404,CA,RI,1,8,5,3,11,1,1,0,0,0,3,0,3,1,0,0,5,8,0,0,0,0,0,75,2019
Harry McKay,12566,CA,RI,1,7,6,4,11,2,1,3,4,0,0,1,2,1,1,0,9,4,4,3,4,0,0,83,2019
Marc Murphy,4148,CA,RI,1,16,4,13,29,1,0,0,1,4,5,1,1,1,0,0,6,23,0,0,0,0,0,87,2019
Nic Newman,12508,CA,RI,1,21,9,5,26,1,0,0,2,12,2,1,2,1,0,0,5,17,0,0,3,0,0,84,2019
Sam Petrevski-Seton,12487,CA,RI,1,12,8,6,18,0,0,0,2,2,4,2,2,1,0,0,4,14,0,0,0,0,0,85,2019
Andrew Phillips,12075,CA,RI,1,5,3,4,9,0,0,27,8,0,2,3,4,1,3,0,3,7,1,0,4,0,0,79,2019
Lachie Plowman,12142,CA,RI,1,11,6,2,13,0,0,0,3,2,0,1,1,3,1,0,4,8,0,0,11,0,0,91,2019
Will Setterfield,12567,CA,RI,1,14,2,10,24,0,1,0,1,1,3,3,3,1,1,0,8,16,0,1,3,0,2,66,2019
Kade Simpson,1456,CA,RI,1,14,6,11,25,0,0,0,1,5,1,1,1,1,0,0,4,19,0,0,1,0,0,84,2019
Dale Thomas,4152,CA,RI,1,15,3,12,27,1,0,0,2,5,3,0,4,1,1,0,6,17,0,0,4,0,1,78,2019
Sam Walsh,12684,CA,RI,1,16,6,8,24,0,1,0,1,1,5,4,6,0,0,0,8,16,0,0,0,1,1,82,2019
Jacob Weitering,12402,CA,RI,1,13,7,4,17,0,0,0,2,3,1,0,3,0,2,0,8,7,3,0,6,0,0,98,2019
James Aish,12250,CW,GE,1,15,5,4,19,0,0,0,4,4,2,0,3,1,0,0,4,14,0,0,2,0,0,83,2019
Dayne Beams,11728,CW,GE,1,14,4,9,23,1,0,0,3,1,5,5,4,0,0,0,10,13,1,0,1,0,1,79,2019
Callum Brown,12545,CW,GE,1,4,1,5,9,1,0,0,3,0,0,0,1,0,1,0,5,4,0,0,0,0,0,64,2019
Mason Cox,12428,CW,GE,1,8,3,3,11,1,1,7,1,2,0,1,4,4,2,0,5,6,1,0,1,0,0,85,2019
Jack Crisp,12061,CW,GE,1,14,3,12,26,0,0,0,1,4,3,1,5,2,1,0,9,17,0,0,2,1,0,85,2019
Jordan de Goey,12318,CW,GE,1,7,3,3,10,2,2,0,1,0,1,2,1,0,0,0,3,8,0,2,1,0,0,79,2019
Jamie Elliott,12083,CW,GE,1,7,6,1,8,3,0,0,5,0,2,1,1,0,0,0,2,6,1,1,1,0,1,74,2019
Brodie Grundy,12217,CW,GE,1,10,2,8,18,0,2,34,2,2,1,7,6,3,5,0,14,3,0,0,1,0,0,86,2019
