Player,ID,Team,Opponent,Round,Kicks,Marks,Hand Balls,Disp,Goals,Behinds,Hit Outs,Tackles,Rebounds,Inside 50,Clearances,Clangers,Frees For,Frees Against,Brownlow,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists,% Time Played,Year
Jake Aarts,12790,RI,CA,1,7,2,5,12,2,0,0,2,0,3,0,4,0,3,0,4,8,0,0,1,1,0,78,2021
David Astbury,11828,RI,CA,1,4,4,5,9,0,0,2,1,2,1,0,2,2,1,0,4,6,0,0,4,0,1,88,2021
Liam Baker,12661,RI,CA,1,4,0,11,15,0,0,0,0,1,4,0,6,0,3,0,6,9,0,0,3,1,1,78,2021
Noah Balta,12686,RI,CA,1,10,4,1,11,0,1,3,1,0,3,2,2,0,1,0,6,6,2,0,6,0,0,84,2021
Shai Bolton,12535,RI,CA,1,13,2,12,25,1,1,0,1,0,8,9,4,0,1,0,14,10,0,0,0,2,1,79,2021
Nathan Broad,12456,RI,CA,1,4,3,5,9,0,0,0,0,1,0,0,1,0,1,0,5,5,0,0,6,0,0,70,2021
Josh Caddy,12010,RI,CA,1,12,4,5,17,1,1,0,2,2,3,0,3,0,0,0,4,13,0,0,2,0,0,79,2021
Jason Castagna,12431,RI,CA,1,8,4,5,13,2,2,0,0,0,2,0,0,0,0,0,2,9,0,2,3,2,0,84,2021
Shane Edwards,11557,RI,CA,1,11,2,16,27,0,0,0,3,1,3,3,1,1,0,0,12,13,0,0,3,0,1,81,2021
Jack Graham,12576,RI,CA,1,22,5,11,33,0,1,0,3,1,11,5,4,2,1,1,8,26,0,0,0,0,1,76,2021
Dylan Grimes,11879,RI,CA,1,4,2,6,10,0,0,0,2,0,1,0,2,0,1,0,6,2,0,0,2,0,0,92,2021
Kane Lambert,12333,RI,CA,1,13,6,15,28,0,1,0,1,1,4,1,6,0,2,0,6,20,0,2,0,0,1,85,2021
Tom Lynch,11948,RI,CA,1,6,4,5,11,1,1,1,0,0,2,0,4,0,2,0,4,7,0,2,2,0,0,92,2021
