year,round,date,player_first_name,player_last_name,player_team,player_position,score_involvements,metres_gained,intercepts,pressure_acts,turnovers,centre_clearances,ground_ball_gets,tackles_inside_fifty,disposal_efficiency_percentage,effective_disposals
2022,1.0,2022-03-16,Tom,Liberatore,Western Bulldogs,FPR,4,103,1,23,4,0,3,1,79,11
2022,1.0,2022-03-16,Steven,May,Melbourne,FB,1,384,5,3,3,0,1,0,79,11
2022,1.0,2022-03-16,Max,Gawn,Melbourne,RK,8,326,4,15,4,1,3,0,57,8
2022,1.0,2022-03-16,Tom,McDonald,Melbourne,CHF,2,250,3,16,2,0,1,0,75,9
2022,1.0,2022-03-16,Adam,Tomlinson,Melbourne,CHB,0,151,3,4,3,0,2,0,75,6
2022,1.0,2022-03-16,Adam,Treloar,Western Bulldogs,HFFR,6,456,0,10,10,1,4,0,69,18
2022,1.0,2022-03-16,Hayden,Crozier,Western Bulldogs,WR,4,391,6,6,3,0,1,0,90,17
2022,1.0,2022-03-16,Jack,Viney,Melbourne,R,5,315,7,24,4,1,9,0,70,16
2022,1.0,2022-03-16,Jack,Macrae,Western Bulldogs,RR,4,613,1,15,6,6,9,0,80,31
2022,1.0,2022-03-16,Lachie,Hunter,Western Bulldogs,INT,1,167,0,8,3,0,2,0,62,8
2022,1.0,2022-03-16,Marcus,Bontempelli,Western Bulldogs,R,6,380,6,21,3,1,3,1,77,13
2022,1.0,2022-03-16,Christian,Salem,Melbourne,HBFL,0,-4,0,0,2,0,1,0,67,2
2022,1.0,2022-03-16,Ben,Brown,Melbourne,FF,11,245,0,5,1,0,3,0,62,8
2022,1.0,2022-03-16,Angus,Brayshaw,Melbourne,HBFR,3,272,7,7,3,0,3,0,65,15
2022,1.0,2022-03-16,Bailey,Dale,Western Bulldogs,HBFR,5,602,6,11,4,0,3,0,84,21
2022,1.0,2022-03-16,Alex,Neal-Bullen,Melbourne,HFFR,8,320,4,29,4,0,6,1,72,13
2022,1.0,2022-03-16,Caleb,Daniel,Western Bulldogs,HBFL,3,406,5,8,6,0,5,0,92,24
2022,1.0,2022-03-16,James,Harmes,Melbourne,INT,4,163,2,25,3,0,4,2,82,14
2022,1.0,2022-03-16,Roarke,Smith,Western Bulldogs,WL,2,124,2,15,1,0,4,1,88,14
2022,1.0,2022-03-16,Zaine,Cordy,Western Bulldogs,CHB,1,-17,0,8,1,1,0,1,100,3
2022,1.0,2022-03-16,Ed,Langdon,Melbourne,WR,6,451,7,5,4,0,9,0,77,17
2022,1.0,2022-03-16,Clayton,Oliver,Melbourne,C,8,549,7,29,8,3,11,2,75,24
2022,1.0,2022-03-16,Josh,Dunkley,Western Bulldogs,C,7,260,5,30,5,3,11,1,72,21
2022,1.0,2022-03-16,Josh,Schache,Western Bulldogs,INT,2,25,0,10,1,0,2,0,83,5
2022,1.0,2022-03-16,Jayden,Hunt,Melbourne,BPR,2,226,4,14,2,0,3,0,82,9
2022,1.0,2022-03-16,Christian,Petracca,Melbourne,RR,13,869,3,27,4,3,13,0,76,29
2022,1.0,2022-03-16,Bailey,Williams,Western Bulldogs,BPR,1,480,5,9,7,0,3,0,56,9
2022,1.0,2022-03-16,Mitch,Hannan,Western Bulldogs,CHF,3,124,2,8,2,0,5,0,75,6
2022,1.0,2022-03-16,Joel,Smith,Melbourne,BPL,0,209,6,7,2,0,2,0,64,7
2022,1.0,2022-03-16,Tim,English,Western Bulldogs,RK,4,259,6,15,3,2,3,0,85,17
2022,1.0,2022-03-16,Alex,Keath,Western Bulldogs,FB,1,204,7,2,3,0,4,0,56,5
2022,1.0,2022-03-16,Aaron,Naughton,Western Bulldogs,FF,7,342,0,7,2,0,1,0,71,10
2022,1.0,2022-03-16,Bayley,Fritsch,Melbourne,FPL,6,245,0,4,2,0,2,0,56,5
2022,1.0,2022-03-16,Ed,Richards,Western Bulldogs,INT,2,151,4,17,1,0,3,0,93,13
2022,1.0,2022-03-16,Charlie,Spargo,Melbourne,HFFL,4,174,2,11,4,0,4,0,64,9
2022,1.0,2022-03-16,Tom,Sparrow,Melbourne,INT,3,197,1,16,2,1,3,0,77,10
2022,1.0,2022-03-16,Bailey,Smith,Western Bulldogs,INT,5,528,3,31,7,4,5,1,67,22
2022,1.0,2022-03-16,Ryan,Gardner,Western Bulldogs,BPL,1,124,3,8,2,0,1,0,86,6
2022,1.0,2022-03-16,Toby,Bedford,Melbourne,SUB,1,124,4,13,1,0,3,1,78,7
2022,1.0,2022-03-16,Kysaiah,Pickett,Melbourne,FPR,3,143,1,12,1,0,0,0,100,5
2022,1.0,2022-03-16,Luke,Jackson,Melbourne,INT,7,166,1,19,0,0,5,1,83,10
2022,1.0,2022-03-16,Laitham,Vandermeer,Western Bulldogs,FPL,1,151,2,15,6,0,7,0,65,11
2022,1.0,2022-03-16,Cody,Weightman,Western Bulldogs,HFFL,2,115,2,9,3,0,3,0,80,4
2022,1.0,2022-03-16,James,Jordon,Melbourne,WL,2,264,8,11,5,0,6,0,80,16
2022,1.0,2022-03-16,Jamarra,Ugle-Hagan,Western Bulldogs,SUB,0,0,0,0,0,0,0,0,0,0
2022,1.0,2022-03-16,Jake,Bowey,Melbourne,INT,1,197,4,8,2,0,3,0,89,8
2022,1.0,2022-03-17,Shane,Edwards,Richmond,CHF,3,188,0,18,1,0,5,0,86,12
2022,1.0,2022-03-17,Jack,Riewoldt,Richmond,FPR,4,100,0,8,2,0,0,0,50,3
2022,1.0,2022-03-17,Trent,Cotchin,Richmond,C,2,171,2,17,4,3,4,0,36,5
2022,1.0,2022-03-17,Dustin,Martin,Richmond,R,6,503,6,14,6,3,5,0,76,16
2022,1.0,2022-03-17,Robbie,Tarrant,Richmond,FB,1,199,4,7,5,0,4,0,64,7
2022,1.0,2022-03-17,Dylan,Grimes,Richmond,BPL,2,157,8,8,1,0,2,0,79,11
2022,1.0,2022-03-17,Dion,Prestia,Richmond,RR,2,198,3,8,2,2,5,0,70,7
2022,1.0,2022-03-17,Tom,Lynch,Richmond,FPL,3,89,0,10,2,0,2,1,60,3
2022,1.0,2022-03-17,Sam,Docherty,Carlton,INT,4,467,6,14,2,0,6,0,96,25
2022,1.0,2022-03-17,Zac,Williams,Carlton,CHB,2,128,5,9,2,0,3,0,82,9
2022,1.0,2022-03-17,Jack,Martin,Carlton,INT,4,186,1,11,2,0,3,2,85,11
2022,1.0,2022-03-17,Patrick,Cripps,Carlton,C,10,679,0,20,6,5,9,1,67,20
2022,1.0,2022-03-17,Adam,Saad,Carlton,HBFR,3,520,6,11,2,0,4,1,95,20
2022,1.0,2022-03-17,Toby,Nankervis,Richmond,RK,5,91,2,18,2,3,3,0,69,9
2022,1.0,2022-03-17,Oscar,McDonald,Carlton,FB,3,235,10,6,4,0,3,0,73,11
2022,1.0,2022-03-17,Daniel,Rioli,Richmond,HBFR,6,270,4,10,2,0,2,0,92,12
2022,1.0,2022-03-17,Jacob,Weitering,Carlton,BPL,3,107,4,3,1,0,1,0,78,7
2022,1.0,2022-03-17,Mitch,McGovern,Carlton,BPR,5,525,5,6,2,0,0,0,79,11
2022,1.0,2022-03-17,George,Hewett,Carlton,R,8,360,5,17,3,2,9,1,79,22
2022,1.0,2022-03-17,Marc,Pittonet,Carlton,RK,9,63,3,6,1,3,6,0,85,11
2022,1.0,2022-03-17,Jayden,Short,Richmond,HBFL,6,607,1,12,2,0,1,0,91,19
2022,1.0,2022-03-17,Charlie,Curnow,Carlton,FPL,6,92,0,8,3,0,3,0,50,4
2022,1.0,2022-03-17,Jason,Castagna,Richmond,INT,6,226,1,7,3,0,4,0,69,11
2022,1.0,2022-03-17,Matthew,Kennedy,Carlton,INT,11,514,4,15,6,1,7,0,55,18
2022,1.0,2022-03-17,Nathan,Broad,Richmond,CHB,3,417,0,10,3,0,0,0,78,14
2022,1.0,2022-03-17,Jack,Silvagni,Carlton,INT,5,196,0,12,2,0,1,2,67,8
2022,1.0,2022-03-17,Nic,Newman,Carlton,HBFL,2,238,5,3,2,0,2,0,86,12
2022,1.0,2022-03-17,Thomas,Williamson,Carlton,SUB,0,0,0,0,0,0,0,0,0,0
2022,1.0,2022-03-17,Zac,Fisher,Carlton,CHF,3,266,1,23,3,0,4,1,69,11
2022,1.0,2022-03-17,Ivan,Soldo,Richmond,FF,2,58,2,8,1,1,2,0,100,5
