year,round,date,player_first_name,player_last_name,player_team,player_position,score_involvements,metres_gained,intercepts,pressure_acts,turnovers,centre_clearances,ground_ball_gets,tackles_inside_fifty,disposal_efficiency_percentage,effective_disposals
2019,1.0,2019-03-21,Kade,Simpson,Carlton,HBFL,2,462,6,8,2,0,4,0,76,19
2019,1.0,2019-03-21,Marc,Murphy,Carlton,WL,7,530,3,12,5,0,5,0,72,21
2019,1.0,2019-03-21,Dale,Thomas,Carlton,HBFR,8,434,6,15,4,0,5,0,85,23
2019,1.0,2019-03-21,Shane,Edwards,Richmond,WL,9,259,5,14,1,2,8,1,82,18
2019,1.0,2019-03-21,Bachar,Houli,Richmond,CHB,5,486,8,17,4,0,3,0,92,22
2019,1.0,2019-03-21,Jack,Riewoldt,Richmond,FPL,5,71,2,4,7,0,5,2,50,4
2019,1.0,2019-03-21,Trent,Cotchin,Richmond,C,8,548,5,19,6,1,11,0,52,16
2019,1.0,2019-03-21,Alex,Rance,Richmond,BPL,0,45,6,6,1,0,3,0,83,5
2019,1.0,2019-03-21,Dustin,Martin,Richmond,FF,11,628,2,6,8,2,9,0,63,19
2019,1.0,2019-03-21,David,Astbury,Richmond,FB,4,175,5,6,0,0,4,0,78,7
2019,1.0,2019-03-21,Liam,Jones,Carlton,FB,1,20,8,11,1,0,2,0,88,7
2019,1.0,2019-03-21,Dylan,Grimes,Richmond,BPR,0,169,6,17,1,0,3,0,67,6
2019,1.0,2019-03-21,Ed,Curnow,Carlton,FPL,8,303,0,7,6,0,6,2,72,18
2019,1.0,2019-03-21,Dion,Prestia,Richmond,RR,7,342,3,26,3,1,6,0,70,14
2019,1.0,2019-03-21,Maverick,Weller,Richmond,INT,4,313,1,18,3,0,2,0,93,14
2019,1.0,2019-03-21,Tom,Lynch,Richmond,FPR,5,95,0,8,0,0,2,0,86,6
2019,1.0,2019-03-21,Alex,Fasolo,Carlton,FPR,2,74,1,5,2,0,0,1,80,4
2019,1.0,2019-03-21,Andrew,Phillips,Carlton,RK,2,163,2,16,0,2,0,2,67,6
2019,1.0,2019-03-21,Lachie,Plowman,Carlton,BPR,2,169,6,11,1,0,0,0,100,13
2019,1.0,2019-03-21,Nick,Vlastuin,Richmond,HBFL,3,254,9,8,0,0,3,0,100,14
2019,1.0,2019-03-21,Patrick,Cripps,Carlton,C,5,263,4,21,3,5,16,0,81,26
2019,1.0,2019-03-21,Kamdyn,McIntosh,Richmond,WR,2,298,4,7,3,0,4,0,85,11
2019,1.0,2019-03-21,Jarrod,Garlett,Carlton,BPL,2,202,4,12,2,0,4,0,44,4
2019,1.0,2019-03-21,Kane,Lambert,Richmond,R,9,412,4,28,4,0,7,1,77,23
2019,1.0,2019-03-21,Toby,Nankervis,Richmond,RK,8,321,2,15,5,0,9,0,41,7
2019,1.0,2019-03-21,Daniel,Rioli,Richmond,HFFL,9,317,1,11,1,1,5,1,77,13
2019,1.0,2019-03-21,Jacob,Weitering,Carlton,CHB,2,302,12,6,2,0,4,0,88,15
2019,1.0,2019-03-21,Mitch,McGovern,Carlton,FF,5,230,2,7,4,0,4,0,64,7
2019,1.0,2019-03-21,Jayden,Short,Richmond,HBFR,4,694,2,15,8,0,1,0,70,14
2019,1.0,2019-03-21,Charlie,Curnow,Carlton,CHF,4,194,0,7,3,0,6,0,50,6
2019,1.0,2019-03-21,Nathan,Broad,Richmond,INT,0,187,3,10,1,0,2,0,75,6
2019,1.0,2019-03-21,David,Cuningham,Carlton,HFFL,6,328,0,16,4,2,6,2,68,15
2019,1.0,2019-03-21,Sam,Petrevski-Seton,Carlton,R,0,282,4,15,6,1,2,0,61,11
2019,1.0,2019-03-21,Dan,Butler,Richmond,CHF,4,300,2,16,6,0,4,4,54,7
2019,1.0,2019-03-21,Nic,Newman,Carlton,INT,4,584,6,10,2,0,3,0,85,22
2019,1.0,2019-03-21,Zac,Fisher,Carlton,WR,6,391,1,18,7,3,11,0,68,15
2019,1.0,2019-03-21,Will,Setterfield,Carlton,INT,4,332,1,19,5,1,5,0,50,12
2019,1.0,2019-03-21,Harry,McKay,Carlton,INT,7,147,0,9,2,1,3,1,82,9
2019,1.0,2019-03-21,Jack,Graham,Richmond,INT,5,475,3,23,5,2,6,1,70,16
2019,1.0,2019-03-21,Paddy,Dow,Carlton,RR,5,195,5,20,4,1,9,0,67,14
2019,1.0,2019-03-21,Jack,Higgins,Richmond,HFFR,9,252,0,22,3,0,6,0,65,11
2019,1.0,2019-03-21,Michael,Gibbons,Carlton,INT,5,168,0,7,2,0,3,0,73,8
2019,1.0,2019-03-21,Sam,Walsh,Carlton,HFFR,5,430,1,21,7,0,7,1,54,13
2019,1.0,2019-03-21,Noah,Balta,Richmond,INT,2,223,1,11,2,1,0,0,80,4
2019,1.0,2019-03-22,Gary,Ablett,Geelong,FPL,5,487,3,12,5,0,6,0,74,17
2019,1.0,2019-03-22,Scott,Pendlebury,Collingwood,C,5,345,1,26,1,3,4,0,83,20
2019,1.0,2019-03-22,Joel,Selwood,Geelong,WL,5,373,8,21,3,0,9,0,52,13
2019,1.0,2019-03-22,Tom,Hawkins,Geelong,FF,7,178,0,11,4,0,4,2,58,7
2019,1.0,2019-03-22,Travis,Varcoe,Collingwood,INT,1,37,0,15,0,0,2,4,100,9
2019,1.0,2019-03-22,Chris,Mayne,Collingwood,WL,3,330,7,24,3,0,3,0,73,16
2019,1.0,2019-03-22,Harry,Taylor,Geelong,CHB,2,22,8,7,0,0,4,0,94,15
2019,1.0,2019-03-22,Patrick,Dangerfield,Geelong,C,8,509,2,21,8,0,9,1,59,16
2019,1.0,2019-03-22,Dayne,Beams,Collingwood,RR,7,377,0,16,4,1,8,0,70,16
2019,1.0,2019-03-22,Steele,Sidebottom,Collingwood,INT,3,337,6,23,6,0,8,0,73,19
2019,1.0,2019-03-22,Mitch,Duncan,Geelong,WR,5,253,1,12,0,1,3,0,74,14
2019,1.0,2019-03-22,Jordan,Roughead,Collingwood,FB,0,164,6,8,3,0,4,0,70,7
2019,1.0,2019-03-22,Gary,Rohan,Geelong,FPR,3,152,2,17,6,0,3,2,60,6
2019,1.0,2019-03-22,Rhys,Stanley,Geelong,RK,6,345,7,9,2,4,5,0,94,17
2019,1.0,2019-03-22,Jeremy,Howe,Collingwood,HBFL,0,340,10,9,4,0,3,0,80,12
2019,1.0,2019-03-22,Luke,Dahlhaus,Geelong,HFFL,4,274,1,18,7,1,6,1,67,16
2019,1.0,2019-03-22,Adam,Treloar,Collingwood,R,6,397,3,24,10,1,10,2,62,21
2019,1.0,2019-03-22,Jack,Crisp,Collingwood,BPR,5,356,8,7,6,1,8,0,65,17
2019,1.0,2019-03-22,Jamie,Elliott,Collingwood,FPL,6,185,0,10,0,0,1,5,100,8
2019,1.0,2019-03-22,Josh,Thomas,Collingwood,HFFL,5,120,0,15,3,0,3,1,69,11
2019,1.0,2019-03-22,Mark,Blicavs,Geelong,FB,0,94,6,11,3,0,4,0,75,9
2019,1.0,2019-03-22,Brodie,Grundy,Collingwood,RK,6,79,1,9,0,4,8,0,56,10
2019,1.0,2019-03-22,Tom,Langdon,Collingwood,INT,0,151,8,9,3,0,4,0,79,11
2019,1.0,2019-03-22,James,Aish,Collingwood,HBFR,3,350,6,11,4,0,3,0,68,13
2019,1.0,2019-03-22,Jordan,De Goey,Collingwood,FPR,5,161,0,8,2,1,2,0,50,5
2019,1.0,2019-03-22,Jake,Kolodjashnij,Geelong,HBFL,2,175,6,10,1,0,4,0,89,8
2019,1.0,2019-03-22,Brayden,Maynard,Collingwood,BPL,0,189,5,16,1,0,5,0,88,14
2019,1.0,2019-03-22,Darcy,Moore,Collingwood,CHB,0,378,8,8,4,0,1,0,81,13
2019,1.0,2019-03-22,Mason,Cox,Collingwood,CHF,4,163,2,4,5,0,0,1,64,7
2019,1.0,2019-03-22,Tom,Phillips,Collingwood,WR,5,556,4,11,6,0,5,0,63,15
2019,1.0,2019-03-22,Sam,Menegola,Geelong,INT,2,280,1,11,2,1,6,1,90,17
2019,1.0,2019-03-22,Brandan,Parfitt,Geelong,R,3,362,2,21,6,1,8,3,73,16
2019,1.0,2019-03-22,Tom,Stewart,Geelong,HBFR,0,448,8,11,7,0,4,0,69,18
2019,1.0,2019-03-22,Mark,O'Connor,Geelong,INT,0,87,5,8,1,0,5,0,69,9
2019,1.0,2019-03-22,Callum L.,Brown,Collingwood,INT,3,118,1,16,0,0,5,1,78,7
2019,1.0,2019-03-22,Jaidyn,Stephenson,Collingwood,HFFR,3,204,3,15,6,0,6,2,56,9
2019,1.0,2019-03-22,Tim,Kelly,Geelong,RR,4,597,2,28,5,2,8,0,68,21
2019,1.0,2019-03-22,Esava,Ratugolea,Geelong,CHF,0,92,1,14,3,0,3,0,80,4
2019,1.0,2019-03-22,Jack,Henry,Geelong,BPL,1,56,2,8,2,0,2,0,60,3
2019,1.0,2019-03-22,Brody,Mihocek,Collingwood,FF,4,338,2,3,4,0,3,0,79,11
2019,1.0,2019-03-22,Tom,Atkins,Geelong,HFFR,4,125,2,13,4,0,3,5,78,7
2019,1.0,2019-03-22,Jordan,Clark,Geelong,BPR,1,486,6,8,6,0,2,0,82,14
2019,1.0,2019-03-22,Charlie,Constable,Geelong,INT,5,205,1,11,2,0,4,0,86,18
2019,1.0,2019-03-22,Gryan,Miers,Geelong,INT,1,94,1,9,3,0,1,1,73,8
2019,1.0,2019-03-23,Paddy,Ryder,Port Adelaide,FF,5,118,1,9,2,0,4,0,75,6
2019,1.0,2019-03-23,Nathan,Jones,Melbourne,HBFR,5,419,1,7,4,1,2,0,74,14
2019,1.0,2019-03-23,Robbie,Gray,Port Adelaide,CHF,8,359,0,20,4,0,5,0,61,14
2019,1.0,2019-03-23,Justin,Westhoff,Port Adelaide,WR,7,286,6,15,4,0,6,1,83,15
2019,1.0,2019-03-23,Travis,Boak,Port Adelaide,HFFL,9,558,4,27,8,2,6,1,74,25
2019,1.0,2019-03-23,Brad,Ebert,Port Adelaide,HFFR,6,277,3,17,1,1,4,2,87,20
2019,1.0,2019-03-23,Neville,Jetta,Melbourne,BPR,2,120,4,7,4,0,3,0,70,7
2019,1.0,2019-03-23,Jack,Watts,Port Adelaide,INT,8,267,7,9,2,0,5,0,82,18
2019,1.0,2019-03-23,Tom,Rockliff,Port Adelaide,C,5,504,2,18,8,1,10,1,71,31
2019,1.0,2019-03-23,Steven,Motlop,Port Adelaide,R,7,300,2,13,4,0,5,0,74,14
2019,1.0,2019-03-23,Jake,Melksham,Melbourne,FPL,9,246,0,11,7,0,1,0,63,10
2019,1.0,2019-03-23,Michael,Hibberd,Melbourne,HBFL,1,486,8,12,7,0,4,0,67,10
2019,1.0,2019-03-23,Max,Gawn,Melbourne,RK,4,148,3,14,1,0,5,0,85,11
2019,1.0,2019-03-23,Scott,Lycett,Port Adelaide,RK,4,139,2,4,0,0,5,1,80,8
2019,1.0,2019-03-23,Tom,Jonas,Port Adelaide,CHB,2,97,5,7,2,0,3,0,92,11
2019,1.0,2019-03-23,Tom,McDonald,Melbourne,CHF,4,50,1,12,1,0,3,1,88,7
2019,1.0,2019-03-23,Sam,Frost,Melbourne,CHB,1,194,5,11,4,0,3,0,89,8
2019,1.0,2019-03-23,Jack,Viney,Melbourne,FPR,1,233,1,25,4,0,2,0,60,6
2019,1.0,2019-03-23,Tom,Clurey,Port Adelaide,FB,3,182,10,3,4,0,4,0,73,11
2019,1.0,2019-03-23,Christian,Salem,Melbourne,WR,3,741,10,15,6,0,5,0,84,27
2019,1.0,2019-03-23,Angus,Brayshaw,Melbourne,R,3,430,1,18,6,5,9,1,58,15
2019,1.0,2019-03-23,Karl,Amon,Port Adelaide,FPL,6,163,3,10,1,0,3,0,91,19
2019,1.0,2019-03-23,Alex,Neal-Bullen,Melbourne,HFFL,5,191,2,30,3,1,7,2,60,9
2019,1.0,2019-03-23,James,Harmes,Melbourne,RR,4,332,5,21,5,2,9,1,70,16
2019,1.0,2019-03-23,Oscar,McDonald,Melbourne,FB,1,114,1,6,1,0,1,0,80,4
2019,1.0,2019-03-23,Clayton,Oliver,Melbourne,C,3,490,4,21,5,3,6,1,74,17
2019,1.0,2019-03-23,Darcy,Byrne-Jones,Port Adelaide,HBFR,3,212,7,10,5,0,6,0,74,14
2019,1.0,2019-03-23,Jayden,Hunt,Melbourne,WL,1,215,8,14,5,1,7,0,50,7
2019,1.0,2019-03-23,Christian,Petracca,Melbourne,INT,4,136,2,17,4,1,8,2,73,11
