year,round,date,player_first_name,player_last_name,player_team,player_position,score_involvements,metres_gained,intercepts,pressure_acts,turnovers,centre_clearances,ground_ball_gets,tackles_inside_fifty,disposal_efficiency_percentage,effective_disposals
2020,1.0,2020-03-19,Kade,Simpson,Carlton,INT,4,376,8,7,5,1,5,0,85,17
2020,1.0,2020-03-19,Marc,Murphy,Carlton,RR,7,347,2,17,7,1,8,0,69,18
2020,1.0,2020-03-19,Shane,Edwards,Richmond,CHF,8,312,0,16,3,4,2,0,87,13
2020,1.0,2020-03-19,Jack,Riewoldt,Richmond,FPR,5,133,0,7,5,0,0,1,67,4
2020,1.0,2020-03-19,Matthew,Kreuzer,Carlton,RK,1,-15,1,4,0,0,0,0,100,1
2020,1.0,2020-03-19,Trent,Cotchin,Richmond,RR,7,463,2,17,5,2,7,0,63,12
2020,1.0,2020-03-19,Dustin,Martin,Richmond,FF,8,257,3,16,2,3,3,1,75,18
2020,1.0,2020-03-19,David,Astbury,Richmond,BPR,3,300,7,7,1,0,4,0,100,14
2020,1.0,2020-03-19,Liam,Jones,Carlton,FB,1,173,7,2,1,0,2,0,78,7
2020,1.0,2020-03-19,Dylan,Grimes,Richmond,FB,1,92,6,5,2,0,1,0,71,5
2020,1.0,2020-03-19,Ed,Curnow,Carlton,R,7,269,2,16,5,3,3,0,56,9
2020,1.0,2020-03-19,Dion,Prestia,Richmond,C,8,546,3,25,9,2,5,0,72,18
2020,1.0,2020-03-19,Tom,Lynch,Richmond,FPL,6,121,0,14,1,0,5,0,78,7
2020,1.0,2020-03-19,Josh,Caddy,Richmond,WL,5,299,3,9,6,0,1,1,80,12
2020,1.0,2020-03-19,Jack,Newnes,Carlton,WR,2,356,1,8,4,0,2,0,75,9
2020,1.0,2020-03-19,Levi,Casboult,Carlton,FPL,6,159,3,9,3,0,4,0,65,11
2020,1.0,2020-03-19,Lachie,Plowman,Carlton,BPL,2,181,2,6,2,0,1,0,57,4
2020,1.0,2020-03-19,Sam,Docherty,Carlton,BPR,3,584,9,9,5,0,5,0,69,18
2020,1.0,2020-03-19,Nick,Vlastuin,Richmond,CHB,0,263,3,6,2,0,2,0,86,6
2020,1.0,2020-03-19,Jack,Martin,Carlton,HFFR,10,275,3,9,3,0,4,0,77,13
2020,1.0,2020-03-19,Patrick,Cripps,Carlton,C,9,295,1,11,6,8,9,0,65,20
2020,1.0,2020-03-19,Kane,Lambert,Richmond,R,8,203,2,9,2,0,2,0,79,11
2020,1.0,2020-03-19,Toby,Nankervis,Richmond,INT,2,54,2,10,1,1,3,0,86,6
2020,1.0,2020-03-19,Daniel,Rioli,Richmond,INT,9,246,1,12,3,0,4,0,92,11
2020,1.0,2020-03-19,Jacob,Weitering,Carlton,CHB,1,315,8,8,3,0,6,0,83,10
2020,1.0,2020-03-19,Mitch,McGovern,Carlton,CHF,4,129,1,14,0,0,2,2,57,4
2020,1.0,2020-03-19,Jayden,Short,Richmond,HBFL,1,511,3,9,6,0,1,0,93,14
2020,1.0,2020-03-19,Jason,Castagna,Richmond,HFFR,4,162,0,21,1,0,0,1,88,7
2020,1.0,2020-03-19,Nathan,Broad,Richmond,BPL,2,165,2,4,3,0,1,0,89,8
2020,1.0,2020-03-19,Jack,Silvagni,Carlton,FPR,4,75,0,11,1,0,2,0,50,3
2020,1.0,2020-03-19,David,Cuningham,Carlton,FF,5,171,0,4,1,0,0,0,75,6
2020,1.0,2020-03-19,Sam,Petrevski-Seton,Carlton,HBFR,4,211,9,12,0,0,9,0,90,17
2020,1.0,2020-03-19,Nic,Newman,Carlton,HBFL,1,253,2,13,1,0,1,0,77,10
2020,1.0,2020-03-19,Zac,Fisher,Carlton,INT,3,384,2,14,3,1,7,0,71,12
2020,1.0,2020-03-19,Ivan,Soldo,Richmond,RK,7,133,1,14,0,1,3,0,90,9
2020,1.0,2020-03-19,Shai,Bolton,Richmond,HFFL,7,416,0,14,2,1,2,1,69,9
2020,1.0,2020-03-19,Will,Setterfield,Carlton,INT,3,111,3,13,1,0,3,2,67,4
2020,1.0,2020-03-19,Jack,Graham,Richmond,WR,1,42,3,23,1,1,3,0,100,8
2020,1.0,2020-03-19,Paddy,Dow,Carlton,HFFL,4,116,1,11,0,0,1,0,57,4
2020,1.0,2020-03-19,Liam,Baker,Richmond,HBFR,7,222,10,9,4,0,8,0,75,12
2020,1.0,2020-03-19,Michael,Gibbons,Carlton,INT,2,115,0,12,1,0,1,0,71,5
2020,1.0,2020-03-19,Sam,Walsh,Carlton,WL,1,262,2,16,8,0,7,0,32,6
2020,1.0,2020-03-19,Sydney,Stack,Richmond,INT,4,167,5,11,3,0,5,0,80,8
2020,1.0,2020-03-19,Marlion,Pickett,Richmond,INT,6,267,3,27,3,0,5,0,71,10
2020,1.0,2020-03-20,Scott,Pendlebury,Collingwood,C,6,217,1,18,3,2,4,0,72,18
2020,1.0,2020-03-20,Chris,Mayne,Collingwood,WR,8,169,5,8,2,0,6,0,93,27
2020,1.0,2020-03-20,Matthew,Suckling,Western Bulldogs,INT,5,190,0,7,2,0,2,0,82,9
2020,1.0,2020-03-20,Steele,Sidebottom,Collingwood,R,8,165,2,24,7,0,6,0,77,20
2020,1.0,2020-03-20,Easton,Wood,Western Bulldogs,BPR,0,101,6,5,2,0,5,0,71,10
2020,1.0,2020-03-20,Jordan,Roughead,Collingwood,FB,0,18,1,2,0,0,0,0,100,5
2020,1.0,2020-03-20,Mitch,Wallis,Western Bulldogs,R,2,31,3,13,3,0,4,0,83,10
2020,1.0,2020-03-20,Jeremy,Howe,Collingwood,BPR,3,433,12,6,4,0,7,0,88,22
2020,1.0,2020-03-20,Will,Hoskin-Elliott,Collingwood,WL,4,123,1,13,1,1,4,0,87,13
2020,1.0,2020-03-20,Jack,Crisp,Collingwood,BPL,3,349,3,4,4,0,1,0,80,12
2020,1.0,2020-03-20,Taylor,Adams,Collingwood,RR,5,230,2,22,5,6,5,1,62,16
2020,1.0,2020-03-20,Josh,Bruce,Western Bulldogs,CHF,2,60,0,9,1,1,1,0,67,4
2020,1.0,2020-03-20,Jamie,Elliott,Collingwood,FPR,5,233,0,12,5,0,3,1,54,7
2020,1.0,2020-03-20,Hayden,Crozier,Western Bulldogs,HBFL,2,259,6,22,4,1,5,0,77,13
2020,1.0,2020-03-20,Jason,Johannisen,Western Bulldogs,CHB,3,190,3,14,1,0,4,0,75,12
2020,1.0,2020-03-20,Josh,Thomas,Collingwood,INT,5,-27,0,18,0,0,5,1,82,9
2020,1.0,2020-03-20,Jack,Macrae,Western Bulldogs,INT,2,266,0,28,3,0,10,1,73,16
2020,1.0,2020-03-20,Lachie,Hunter,Western Bulldogs,WR,0,256,1,14,3,1,3,0,77,17
2020,1.0,2020-03-20,Brodie,Grundy,Collingwood,RK,9,171,2,10,2,2,7,1,58,11
2020,1.0,2020-03-20,Sam,Lloyd,Western Bulldogs,FPR,1,95,0,20,3,0,0,1,75,6
2020,1.0,2020-03-20,Marcus,Bontempelli,Western Bulldogs,C,1,168,1,21,4,1,6,0,73,11
2020,1.0,2020-03-20,Jordan,De Goey,Collingwood,FPL,4,320,1,8,2,3,1,1,57,8
2020,1.0,2020-03-20,Bailey,Dale,Western Bulldogs,HFFL,1,-7,1,10,3,0,2,0,67,4
2020,1.0,2020-03-20,Brayden,Maynard,Collingwood,HBFL,4,343,3,8,2,0,3,0,95,18
2020,1.0,2020-03-20,Darcy,Moore,Collingwood,CHB,1,51,4,3,0,0,3,0,100,11
2020,1.0,2020-03-20,Caleb,Daniel,Western Bulldogs,INT,4,160,7,15,1,1,8,0,75,15
2020,1.0,2020-03-20,Zaine,Cordy,Western Bulldogs,FB,1,257,2,6,1,0,0,0,89,8
2020,1.0,2020-03-20,Josh,Dunkley,Western Bulldogs,RR,3,201,6,19,4,0,7,0,53,10
2020,1.0,2020-03-20,Mason,Cox,Collingwood,FF,3,12,1,3,0,0,1,0,89,8
2020,1.0,2020-03-20,Bailey,Williams,Western Bulldogs,HBFR,3,332,2,21,4,0,2,0,77,13
2020,1.0,2020-03-20,Tom,Phillips,Collingwood,HFFL,4,109,2,14,0,0,3,1,92,11
2020,1.0,2020-03-20,Tim,English,Western Bulldogs,RK,2,113,4,10,0,0,0,0,70,7
2020,1.0,2020-03-20,Callum L.,Brown,Collingwood,HFFR,5,94,0,24,3,0,4,2,86,12
2020,1.0,2020-03-20,Lewis,Young,Western Bulldogs,FPL,1,26,0,8,1,0,0,0,75,3
2020,1.0,2020-03-20,Alex,Keath,Western Bulldogs,BPL,1,291,5,6,2,0,2,0,73,11
2020,1.0,2020-03-20,Josh,Daicos,Collingwood,INT,3,160,3,17,2,0,3,1,86,12
2020,1.0,2020-03-20,Aaron,Naughton,Western Bulldogs,FF,0,32,0,10,0,0,0,1,100,2
2020,1.0,2020-03-20,Brody,Mihocek,Collingwood,CHF,8,317,0,15,0,0,1,1,100,11
2020,1.0,2020-03-20,Jack,Madgen,Collingwood,INT,2,31,0,1,1,0,0,0,100,5
2020,1.0,2020-03-20,Bailey,Smith,Western Bulldogs,WL,3,227,1,24,4,0,6,0,74,17
2020,1.0,2020-03-20,Ryan,Gardner,Western Bulldogs,HFFR,0,32,1,3,2,0,0,0,64,7
2020,1.0,2020-03-20,John,Noble,Collingwood,HBFR,3,141,4,11,4,0,4,0,79,15
2020,1.0,2020-03-20,Ben,Cavarra,Western Bulldogs,INT,2,105,1,13,0,0,1,1,67,2
2020,1.0,2020-03-20,Tyler,Brown,Collingwood,INT,3,93,1,19,3,1,6,0,60,9
2020,1.0,2020-03-21,Tom,Bellchambers,Essendon,RK,5,-7,1,5,1,0,0,0,86,6
2020,1.0,2020-03-21,Michael,Hurley,Essendon,FB,2,244,4,1,4,0,2,0,88,15
2020,1.0,2020-03-21,David,Zaharakis,Essendon,INT,2,278,1,6,4,0,1,0,59,10
2020,1.0,2020-03-21,Michael,Walters,Fremantle,FPR,8,340,1,13,3,2,6,0,81,17
2020,1.0,2020-03-21,Travis,Colyer,Fremantle,INT,5,179,1,8,2,0,4,1,54,7
2020,1.0,2020-03-21,Nat,Fyfe,Fremantle,C,4,225,6,17,5,1,8,0,62,16
2020,1.0,2020-03-21,Reece,Conca,Fremantle,HBFL,4,193,6,6,4,0,4,0,87,13
2020,1.0,2020-03-21,Dylan,Shiel,Essendon,R,5,298,4,13,1,6,8,0,77,27
2020,1.0,2020-03-21,Devon,Smith,Essendon,HFFR,7,318,2,18,3,0,4,5,67,10
2020,1.0,2020-03-21,Jacob,Townsend,Essendon,FF,6,73,0,4,2,0,2,2,78,7
2020,1.0,2020-03-21,Jake,Stringer,Essendon,FPL,6,336,1,12,3,0,3,0,22,2
2020,1.0,2020-03-21,Matt,Taberner,Fremantle,CHF,5,139,0,4,6,0,2,0,40,4
2020,1.0,2020-03-21,Zach,Merrett,Essendon,RR,5,241,4,15,6,3,7,0,73,16
2020,1.0,2020-03-21,James,Aish,Fremantle,WR,1,256,2,10,4,0,0,0,75,9
2020,1.0,2020-03-21,Tom,Cutler,Essendon,WR,2,437,4,7,5,0,3,1,77,13
2020,1.0,2020-03-21,Rory,Lobb,Fremantle,FF,7,335,5,10,1,0,2,1,80,12
2020,1.0,2020-03-21,Orazio,Fantasia,Essendon,HFFL,4,74,1,4,0,0,0,1,100,6
2020,1.0,2020-03-21,Cam,McCarthy,Fremantle,R,3,195,3,7,2,0,2,0,64,7
2020,1.0,2020-03-21,Adam,Saad,Essendon,HBFL,3,481,5,12,6,0,3,0,82,23
2020,1.0,2020-03-21,Kyle,Langford,Essendon,WL,1,222,3,9,4,1,5,0,78,14
2020,1.0,2020-03-21,Jayden,Laverde,Essendon,INT,3,96,0,6,1,0,0,1,100,5
2020,1.0,2020-03-21,Ethan,Hughes,Fremantle,BPR,2,103,4,1,0,0,2,0,71,5
2020,1.0,2020-03-21,Anthony,McDonald-Tipungwuti,Essendon,FPR,3,74,0,13,1,0,3,1,55,6
