year,round,date,player_first_name,player_last_name,player_team,player_position,score_involvements,metres_gained,intercepts,pressure_acts,turnovers,centre_clearances,ground_ball_gets,tackles_inside_fifty,disposal_efficiency_percentage,effective_disposals
2024,0.0,2024-03-07,Steven,May,Melbourne,FB,1,347,9,8,2,0,4,0,86,18
2024,0.0,2024-03-07,Max,Gawn,Melbourne,RK,3,38,3,11,2,0,2,1,64,9
2024,0.0,2024-03-07,Adam,Tomlinson,Melbourne,CHB,1,267,8,8,2,0,3,0,75,9
2024,0.0,2024-03-07,Harry,Cunningham,Sydney,INT,0,253,5,15,3,0,2,0,78,14
2024,0.0,2024-03-07,Dane,Rampe,Sydney,BPR,2,519,7,5,3,0,6,0,79,15
2024,0.0,2024-03-07,Jack,Viney,Melbourne,HFFL,7,625,3,30,9,3,10,4,70,21
2024,0.0,2024-03-07,Brodie,Grundy,Sydney,RK,7,254,5,17,6,2,8,0,44,10
2024,0.0,2024-03-07,Jack,Billings,Melbourne,SUB,1,37,0,6,2,0,2,1,0,0
2024,0.0,2024-03-07,Jake,Lloyd,Sydney,HBFR,1,142,4,18,3,0,3,0,85,11
2024,0.0,2024-03-07,Christian,Salem,Melbourne,RR,1,558,4,14,6,1,12,0,56,15
2024,0.0,2024-03-07,Isaac,Heeney,Sydney,HFFL,12,619,4,26,2,4,11,1,69,18
2024,0.0,2024-03-07,Jake,Lever,Melbourne,BPR,2,318,4,3,3,0,1,0,83,10
2024,0.0,2024-03-07,Alex,Neal-Bullen,Melbourne,FPL,1,139,2,20,3,1,5,3,67,10
2024,0.0,2024-03-07,Ed,Langdon,Melbourne,WL,2,362,5,18,7,0,8,0,53,10
2024,0.0,2024-03-07,Clayton,Oliver,Melbourne,R,5,417,2,25,6,2,9,1,70,21
2024,0.0,2024-03-07,Tom,Papley,Sydney,FPL,9,404,2,19,4,1,7,2,65,13
2024,0.0,2024-03-07,Josh,Schache,Melbourne,CHF,2,62,1,8,1,0,1,2,25,1
2024,0.0,2024-03-07,Christian,Petracca,Melbourne,C,8,326,5,15,4,2,11,2,69,18
2024,0.0,2024-03-07,Oliver,Florent,Sydney,CHB,1,374,5,14,6,0,7,0,67,12
